"ScenarioID","Scenario","ReplicateID","Seed","recurrent_cycle_time_years","n_training_rlines","training_met_max_plots_per_location","n_recurrent_f5_candidates","n_final_r_lines","training_met_duration_years","ayt_duration_years","n_parent_cycles","latest_parent_mean_index_gv","cumulative_parent_index_gain","mean_parent_index_gain_per_cycle","mean_parent_index_gain_per_year","n_released_hybrids","mean_released_yield_gv","mean_ayt_yield_pheno","final_year"
1,"baseline_800_met12_ayt12",1,10001,2,800,200,50,30,1,1,5,4.60165335867608,1.7801237487939,0.445030937198475,0.222515468599238,60,2.58342203099458,2.62351934060442,15.3333333333333
1,"baseline_800_met12_ayt12",2,10002,2,800,200,50,30,1,1,5,3.85295227716324,1.79553980850017,0.448884952125043,0.224442476062521,60,2.06991081022824,1.98760087714595,15.3333333333333
1,"baseline_800_met12_ayt12",3,10003,2,800,200,50,30,1,1,5,5.36655468623584,1.84660035886313,0.461650089715782,0.230825044857891,60,2.27908278528208,2.2073203614145,15.3333333333333
1,"baseline_800_met12_ayt12",4,10004,2,800,200,50,30,1,1,5,3.73919439597447,1.04112252966879,0.260280632417197,0.130140316208598,60,2.27266650490821,2.28718286873142,15.3333333333333
1,"baseline_800_met12_ayt12",5,10005,2,800,200,50,30,1,1,5,3.42015259935651,1.62066129411712,0.40516532352928,0.20258266176464,58,1.32940154942385,1.32983749103495,15.3333333333333
1,"baseline_800_met12_ayt12",6,10006,2,800,200,50,30,1,1,5,4.31276278458236,2.05278012494394,0.513195031235984,0.256597515617992,58,1.506143370716,1.4847008074902,15.3333333333333
1,"baseline_800_met12_ayt12",7,10007,2,800,200,50,30,1,1,5,3.30519213003136,0.986031047824495,0.246507761956124,0.123253880978062,60,2.35320951209983,2.32946967951177,15.3333333333333
1,"baseline_800_met12_ayt12",8,10008,2,800,200,50,30,1,1,5,4.23567200445669,2.7611840561739,0.690296014043474,0.345148007021737,58,1.61658254363268,1.53836349807267,15.3333333333333
1,"baseline_800_met12_ayt12",9,10009,2,800,200,50,30,1,1,5,4.82790823497649,1.93720418672792,0.484301046681981,0.24215052334099,58,1.66542145580472,1.59766924510845,15.3333333333333
1,"baseline_800_met12_ayt12",10,10010,2,800,200,50,30,1,1,5,5.15725436004547,1.67194059113469,0.417985147783673,0.208992573891837,60,2.49352730654362,2.41086451449216,15.3333333333333
1,"baseline_800_met12_ayt12",11,10011,2,800,200,50,30,1,1,5,3.35536579396362,2.85182601188644,0.712956502971611,0.356478251485806,53,0.857243332586186,0.895328882569435,15.3333333333333
